Food Name,Category,GI,Carbs
"Cupcake, strawberry-iced",Bakery Products,73.0,22.0
Gingerbread,Bakery Products,81.0,24.0
Gingerbread,Bakery Products,88.0,26.0
Gingerbread,Bakery Products,89.0,27.0
Muffin made with corn flour,Bakery Products,74.0,22.0
Muffin made with wheat flour,Bakery Products,74.0,22.0
Muffin made with rice flour,Bakery Products,79.0,24.0
"Pancakes, millet (100% foxtail millet flour)",Bakery Products,76.0,23.0
"Pancakes, prepared from wheat flour",Bakery Products,80.0,24.0
"Pancakes, millet (75% foxtail millet flour, 25% extrusion flour (w/w, dry basis)",Bakery Products,83.0,25.0
"Pancakes, buckwheat, gluten-free, made from packet mix",Bakery Products,102.0,31.0
Doughnut,Bakery Products,75.0,23.0
"Pikelets, Golden brand",Bakery Products,85.0,26.0
"Scones, plain, made from packet mix",Bakery Products,92.0,28.0
Beer (4.5% alcohol by volume) (Nikolai Lager),Beverages,119.0,12.0
"Beer (4.4% alcohol by volume), Pilsner Urquell®",Beverages,89.0,9.0
"Beer, non-alcoholic (0.0% alcohol by volume) (Nikolai Lager)",Beverages,80.0,8.0
"Coca Cola®, soft drink",Beverages,73.0,18.0
"Cola, Pepsi®, sucrose-sweetened",Beverages,72.0,18.0
"Fruit drink, increased GI variant (containing 8% sucrose)",Beverages,86.0,22.0
"Ice Lemon Tea, ready-to-drink black tea with lemon flavor",Beverages,74.0,19.0
"Iced lemon tea, lemon juice powder 0.2%",Beverages,72.0,18.0
"Iced peach tea, 9.5% peach juice",Beverages,71.0,18.0
"Rice milk drink, low-fat, Australia's Own Natural™",Beverages,92.0,23.0
"Rice milk, low-fat, calcium enriched, Vitasoy®",Beverages,79.0,20.0
English Muffin™ bread,Breads,77.0,12.0
Fruit and cinnamon bread,Breads,71.0,11.0
"Multigrain bread, gluten-free",Breads,79.0,12.0
Linola seed bread,Breads,90.0,14.0
"Mixed grain sandwich bread, Molenberg™",Breads,75.0,11.0
"Whole grain bread, Stay Trim™",Breads,70.0,11.0
"Bread, short oat (50% wholemeal wheat, 20% rye, 10% oatmeal, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake",Breads,77.0,12.0
Soft pretzel,Breads,80.0,12.0
"Rice bread, low-amylose Calrose rice",Breads,72.0,11.0
"Bread, long rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (13% net flour weight), 20 min rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",Breads,76.0,11.0
"Bread, short rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",Breads,82.0,12.0
Sourdough Cob Bread,Breads,77.0,12.0
"Sourdough bread (50% wholemeal wheat, 50% white wheat, sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",Breads,82.0,12.0
"Sourdough bread + oats (50% wholemeal wheat, 50% white wheat, 10% rolled oats; sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",Breads,71.0,11.0
"White bread, WonderWhite™",Breads,70.0,11.0
"White bread, WonderWhite™, tested by subjects with a low AMY1 copy number",Breads,70.0,11.0
"White bread, Sunblest™",Breads,70.0,11.0
White bread,Breads,71.0,11.0
White bread,Breads,71.0,11.0
White bread,Breads,71.0,11.0
White bread (Original White Bread),Breads,71.0,11.0
"Wheat bread, bite-sized, soft wheat flour",Breads,71.0,11.0
White bread,Breads,72.0,11.0
White bread,Breads,72.0,11.0
White bread,Breads,74.0,11.0
White bread,Breads,75.0,11.0
White bread,Breads,75.0,11.0
White bread (Vodova veka Penam),Breads,75.0,11.0
White bread,Breads,76.0,11.0
White bread,Breads,76.0,11.0
"White bread, containing 9% sourdough, baked for 30 min at 210°C",Breads,76.0,11.0
White bread,Breads,76.0,11.0
"Wheat bread, sliced (Harry's)",Breads,76.0,11.0
White bread,Breads,78.0,12.0
"White bread, WonderWhite™, tested by subjects with a high AMY1 copy number",Breads,81.0,12.0
White bread,Breads,83.0,12.0
White bread,Breads,83.0,12.0
Wheat bread,Breads,84.0,13.0
White bread (lab made),Breads,87.0,13.0
White bread,Breads,88.0,13.0
"Baguette, Whole Grain, President's Choice® Blue Menu™",Breads,73.0,11.0
"Bread, bakery made from an industrial mix for bread preparation",Breads,72.0,11.0
"Bread, bakery made from an industrial mix for bread preparation",Breads,87.0,13.0
"White bread, candeal-flour",Breads,86.0,13.0
"Enriched white bread, Wonder™",Breads,71.0,11.0
"Enriched white bread, Wonder™",Breads,72.0,11.0
"Enriched white bread, Wonder™",Breads,77.0,12.0
"Bread, sliced, soft wheat flour, extra virgin olive oil",Breads,73.0,11.0
White bread (100% wheat flour) + 2% pectin,Breads,86.0,13.0
